date,f107_now,carrington_rotation,monthly_f107,sma_13_past,slope_12m,volatility_13m,cycle_state_falling,cycle_state_plateau,cycle_state_rising,activity_level_high,activity_level_low,activity_level_medium,volatility_state_high,volatility_state_normal
1947-07-08,205.5,1255.1683,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-09,201.6,1255.2051,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-10,211.3,1255.2418,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-11,218.0,1255.2786,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-12,211.2,1255.3153,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-13,217.39999999999998,1255.35205,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-14,223.6,1255.3888,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-15,233.4,1255.4256,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-16,268.0,1255.4623,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-17,280.0,1255.4991,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-18,260.0,1255.5358,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-19,262.6,1255.5726,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-20,257.45000000000005,1255.60935,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-21,252.3,1255.6461,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-22,264.7,1255.6828,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-23,245.1,1255.7196,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-24,244.1,1255.7563,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-25,208.2,1255.7931,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-26,208.7,1255.8298,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-27,188.89999999999998,1255.86655,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-28,169.1,1255.9033,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-29,175.2,1255.9401,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-30,181.9,1255.9768,235.69500000000002,,,,0,1,0,0,0,1,0,1
1947-07-31,218.6,1256.0135,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-01,223.2,1256.0503,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-02,238.2,1256.087,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-03,244.95,1256.12375,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-04,251.7,1256.1605,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-05,248.6,1256.1972,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-06,260.0,1256.234,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-07,304.5,1256.2707,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-08,298.2,1256.3074,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-09,316.2,1256.3441,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-10,319.85,1256.38085,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-11,323.5,1256.4176,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-12,328.2,1256.4543,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-13,302.2,1256.4911,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-14,304.2,1256.5278,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-15,279.0,1256.5645,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-16,234.3,1256.6012,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-17,221.25,1256.63795,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-18,208.2,1256.6747,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-19,197.0,1256.7114,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-20,179.8,1256.7481,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-21,164.7,1256.7848,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-22,159.5,1256.8215,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-23,155.0,1256.8582,221.2741935483871,,,,0,1,0,0,0,1,0,1
